feature,importance
day_of_week,0.32386749168377793
hour,0.23602403796540222
flights_same_hour,0.07780306180585897
route_avg_delay_7d,0.06490313141223349
scheduled_duration,0.056736508281478186
turnaround_time,0.053939440974801786
route_encoded,0.04499847641661242
aircraft_encoded,0.04375465394191712
aircraft_avg_delay_3d,0.04087786024000353
prev_arrival_delay,0.01875123919052399
aircraft_type_encoded,0.018652408145567154
route_complexity,0.00670027182960759
is_peak_hour,0.005645036355714252
total_flights_same_hour,0.00402973525947856
is_weekend,0.0033166464970229245
month,0.0
